,movie,popularity,production_budget,domestic_gross,worldwide_gross,release_month,movie_id,primary_title,start_year,runtime_minutes,averagerating,numvotes,genre_list,genre_rating
197,Rise of the Guardians,14.934000000000001,145000000,103412758,306900902,11,tt1446192,Rise of the Guardians,2012,97.0,7.3,145281.0,Action,6.085581395348833
198,21 Jump Street,14.835999999999999,42000000,138447667,202812429,3,tt1232829,21 Jump Street,2012,109.0,7.2,477771.0,Action,6.085581395348833
199,Cloud Atlas,14.681,102000000,27108272,130673154,10,tt1371111,Cloud Atlas,2012,172.0,7.4,326473.0,Action,6.085581395348833
200,Journey 2: The Mysterious Island,14.454,79000000,103860290,318146162,2,tt1397514,Journey 2: The Mysterious Island,2012,94.0,5.8,83507.0,Action,6.085581395348833
201,The Hunger Games,14.212,80000000,408010692,677923379,3,tt1392170,The Hunger Games,2012,142.0,7.2,795227.0,Action,6.085581395348833
202,Red Dawn,13.904000000000002,65000000,44806783,48164150,11,tt1234719,Red Dawn,2012,93.0,5.4,69599.0,Action,6.085581395348833
203,Dredd,13.222999999999999,45000000,13414714,41467606,9,tt1343727,Dredd,2012,95.0,7.1,234616.0,Action,6.085581395348833
204,End of Watch,13.152000000000001,15000000,41003371,57586606,9,tt1855199,End of Watch,2012,109.0,7.6,211308.0,Action,6.085581395348833
205,Safe House,13.116,85000000,126181630,208542162,2,tt1599348,Safe House,2012,115.0,6.8,192655.0,Action,6.085581395348833
207,Abraham Lincoln: Vampire Hunter,12.498,67500000,37519139,137489730,6,tt1611224,Abraham Lincoln: Vampire Hunter,2012,105.0,5.9,142853.0,Action,6.085581395348833
208,Premium Rush,12.484000000000002,35000000,20275446,31393201,8,tt1547234,Premium Rush,2012,91.0,6.5,105279.0,Action,6.085581395348833
209,Contraband,12.357000000000001,25000000,66528000,98406855,1,tt1524137,Contraband,2012,109.0,6.5,111709.0,Action,6.085581395348833
210,Act of Valor,12.197000000000001,12000000,70012847,82497035,2,tt1591479,Act of Valor,2012,110.0,6.5,63787.0,Action,6.085581395348833
211,This Means War,12.017000000000001,65000000,54760791,156974557,2,tt1596350,This Means War,2012,103.0,6.3,167438.0,Action,6.085581395348833
212,Lockout,11.273,20000000,14326865,33943049,4,tt1592525,Lockout,2012,95.0,6.1,89554.0,Action,6.085581395348833
213,Man on a Ledge,11.263,42000000,18620000,49621440,1,tt1568338,Man on a Ledge,2012,102.0,6.6,137507.0,Action,6.085581395348833
214,Serbuan maut,11.15,1100000,4105123,9297407,4,tt1899353,The Raid: Redemption,2011,101.0,7.6,175968.0,Action,6.085581395348833
215,Here Comes the Boom,10.265,42000000,45290318,73239258,10,tt1648179,Here Comes the Boom,2012,105.0,6.4,81761.0,Action,6.085581395348833
216,Red Tails,10.247,58000000,49876377,50365498,1,tt0485985,Red Tails,2012,125.0,5.9,31815.0,Action,6.085581395348833
217,The Watch,10.228,55000000,34353000,67130045,7,tt1298649,The Watch,2012,102.0,5.7,115757.0,Action,6.085581395348833
218,Alex Cross,9.962,35000000,25888412,35426759,10,tt1712170,Alex Cross,2012,101.0,5.1,30951.0,Action,6.085581395348833
219,Stolen,9.812999999999999,35000000,289773,17967746,9,tt1656186,Stolen,2012,96.0,5.5,41313.0,Action,6.085581395348833
220,The Collection,9.059,10000000,6810754,8890094,9,tt1748227,The Collection,2012,82.0,6.1,42256.0,Action,6.085581395348833
221,The Collection,0.84,10000000,6810754,8890094,3,tt1748227,The Collection,2012,82.0,6.1,42256.0,Action,6.085581395348833
222,The Cold Light of Day,8.974,20000000,3763583,25361206,9,tt1366365,The Cold Light of Day,2012,93.0,4.9,33039.0,Action,6.085581395348833
223,One for the Money,8.62,42000000,26414527,36197221,1,tt1598828,One for the Money,2012,91.0,5.3,38473.0,Action,6.085581395348833
225,Bait,7.117000000000001,35000000,15325127,15471969,9,tt1438173,Bait,2012,93.0,5.2,14627.0,Action,6.085581395348833
227,Survivor,3.412,20000000,0,1703281,8,tt3247714,Survivor,2015,96.0,5.6,28614.0,Action,6.085581395348833
229,Survivor,21.021,20000000,0,1703281,5,tt3247714,Survivor,2015,96.0,5.6,28614.0,Action,6.085581395348833
235,Resident Evil: Retribution,1.325,65000000,42345531,240647629,9,tt1855325,Resident Evil: Retribution,2012,95.0,5.4,125191.0,Action,6.085581395348833
237,Morgan,1.111,8000000,3915251,7298786,1,tt4520364,Morgan,2016,92.0,5.8,35487.0,Action,6.085581395348833
238,Morgan,9.912,8000000,3915251,7298786,9,tt4520364,Morgan,2016,92.0,5.8,35487.0,Action,6.085581395348833
248,Transcendence,0.6,100000000,23022309,103039258,6,tt2209764,Transcendence,2014,119.0,6.3,204481.0,Action,6.085581395348833
249,Transcendence,11.035,100000000,23022309,103039258,4,tt2209764,Transcendence,2014,119.0,6.3,204481.0,Action,6.085581395348833
250,Thor: The Dark World,31.014,150000000,206362140,644602516,11,tt1981115,Thor: The Dark World,2013,112.0,6.9,540996.0,Action,6.085581395348833
251,Man of Steel,27.666999999999998,225000000,291045518,667999518,6,tt0770828,Man of Steel,2013,143.0,7.1,647288.0,Action,6.085581395348833
252,47 Ronin,25.049,175000000,38362475,151716815,12,tt1335975,47 Ronin,2013,128.0,6.3,135754.0,Action,6.085581395348833
253,R.I.P.D.,21.377,130000000,33618855,79076678,7,tt0790736,R.I.P.D.,2013,96.0,5.6,109078.0,Action,6.085581395348833
254,Star Trek Into Darkness,20.487,190000000,228778661,467381584,5,tt1408101,Star Trek Into Darkness,2013,132.0,7.7,445535.0,Action,6.085581395348833
255,The Hunger Games: Catching Fire,20.187,130000000,424668047,864868047,11,tt1951264,The Hunger Games: Catching Fire,2013,146.0,7.5,575455.0,Action,6.085581395348833
256,Oblivion,18.534000000000002,120000000,89107235,287916633,4,tt1483013,Oblivion,2013,124.0,7.0,453966.0,Action,6.085581395348833
257,Escape Plan,17.88,70000000,25135965,103735965,10,tt1211956,Escape Plan,2013,115.0,6.7,211587.0,Action,6.085581395348833
258,Elysium,17.663,120000000,93050117,286192091,8,tt1535108,Elysium,2013,109.0,6.6,395572.0,Action,6.085581395348833
259,Bullet to the Head,17.574,55000000,9489829,22597969,2,tt1308729,Bullet to the Head,2012,92.0,5.7,44816.0,Action,6.085581395348833
260,Riddick,17.434,38000000,42025135,94763758,9,tt1411250,Riddick,2013,119.0,6.4,144821.0,Action,6.085581395348833
261,The Heat,16.912,43000000,159581587,229727774,6,tt2404463,The Heat,2013,117.0,6.6,153501.0,Action,6.085581395348833
262,Pacific Rim,16.759,190000000,101802906,411002906,7,tt1663662,Pacific Rim,2013,131.0,6.9,443667.0,Action,6.085581395348833
263,Pain & Gain,16.509,26000000,49875291,81275291,4,tt1980209,Pain & Gain,2013,129.0,6.4,187820.0,Action,6.085581395348833
