,primary_title,genres,averagerating,primary_name,death_year,primary_profession,writer_rating,nummovies
1411,Everybody Wants Some!!,Comedy,7.0,Richard Linklater,,"producer,director,writer",7.3,5.0
1422,Mommy,Drama,8.1,Xavier Dolan,,"actor,writer,director",7.380000000000001,5.0
1442,Why Him?,Comedy,6.2,Jonah Hill,,"actor,producer,writer",7.4,5.0
1480,"Hail, Caesar!","Comedy,Drama,Music",6.3,Ethan Coen,,"producer,writer,director",7.175,8.0
1481,"Hail, Caesar!","Comedy,Drama,Music",6.3,Joel Coen,,"producer,writer,director",7.175,8.0
1491,Jai Ho,"Action,Drama",5.3,A.R. Murugadoss,,"writer,director,actor",7.6,6.0
1501,The Debt,"Drama,Thriller",6.9,Matthew Vaughn,,"producer,writer,director",7.449999999999999,6.0
1533,The Man from U.N.C.L.E.,"Action,Adventure,Comedy",7.3,Guy Ritchie,,"director,producer,writer",7.250000000000001,3.0
1538,Laurence Anyways,"Drama,Romance",7.7,Xavier Dolan,,"actor,writer,director",7.380000000000001,5.0
1556,A Dog's Purpose,"Adventure,Comedy,Drama",7.1,Maya Forbes,,"producer,writer,miscellaneous",7.0,3.0
1589,Gnomeo & Juliet,"Adventure,Animation,Comedy",6.0,Mark Burton,,"writer,miscellaneous,producer",7.4,5.0
1614,The Hobbit: The Desolation of Smaug,"Adventure,Fantasy",7.8,Peter Jackson,,"producer,director,writer",7.875,4.0
1651,Julia's Eyes,"Horror,Mystery,Thriller",6.7,Oriol Paulo,,"writer,director,editorial_department",7.733333333333333,4.0
1679,2.0,"Action,Sci-Fi",6.6,S. Shankar,,"writer,director,producer",7.15,4.0
1731,The World's End,"Action,Comedy,Sci-Fi",7.0,Edgar Wright,,"director,writer,actor",7.366666666666667,5.0
1761,Edge of Tomorrow,"Action,Sci-Fi",7.9,Christopher McQuarrie,,"writer,producer,director",7.400000000000001,7.0
1769,The Perks of Being a Wallflower,Drama,8.0,Stephen Chbosky,,"writer,producer,director",8.0,3.0
1800,Dheepan,"Crime,Drama",7.2,Jacques Audiard,,"writer,director,editorial_department",7.233333333333333,3.0
1824,Jab Harry Met Sejal,"Comedy,Drama,Romance",5.4,Imtiaz Ali,,"writer,director,actor",7.0,5.0
1834,Thelma,"Drama,Fantasy,Horror",7.0,Joachim Trier,,"director,writer,soundtrack",7.1000000000000005,3.0
