,movie,genres,averagerating,primary_name,death_year,primary_profession,director_rating,nummovies
574,In the House,"Drama,Mystery,Thriller",7.4,François Ozon,,"director,writer,editor",7.233333333333333,3.0
589,Wild,"Adventure,Biography,Drama",7.1,Jean-Marc Vallée,,"producer,director,editor",7.375,4.0
607,Furious 7,"Action,Crime,Thriller",7.2,James Wan,,"producer,writer,director",7.116666666666667,6.0
610,Everybody Wants Some!!,Comedy,7.0,Richard Linklater,,"producer,director,writer",7.3,5.0
614,Mommy,Drama,8.1,Xavier Dolan,,"actor,writer,director",7.380000000000001,5.0
615,The Girl on the Train,"Crime,Drama,Mystery",6.5,Tate Taylor,,"actor,producer,director",7.166666666666667,3.0
642,"Hail, Caesar!","Comedy,Drama,Music",6.3,Ethan Coen,,"producer,writer,director",7.175,4.0
643,"Hail, Caesar!","Comedy,Drama,Music",6.3,Joel Coen,,"producer,writer,director",7.175,4.0
645,Eddie the Eagle,"Biography,Comedy,Drama",7.4,Dexter Fletcher,,"actor,director,writer",7.433333333333334,3.0
654,The Debt,"Drama,Thriller",6.9,John Madden,,"director,producer,writer",7.074999999999999,4.0
658,Perfect Sense,"Drama,Romance,Sci-Fi",7.1,David Mackenzie,,"director,producer,writer",7.275,4.0
670,The Man from U.N.C.L.E.,"Action,Adventure,Comedy",7.3,Guy Ritchie,,"director,producer,writer",7.250000000000001,4.0
671,Laurence Anyways,"Drama,Romance",7.7,Xavier Dolan,,"actor,writer,director",7.380000000000001,5.0
699,The Hobbit: The Desolation of Smaug,"Adventure,Fantasy",7.8,Peter Jackson,,"producer,director,writer",7.875,4.0
701,First Man,"Biography,Drama,History",7.4,Damien Chazelle,,"producer,writer,director",7.966666666666666,3.0
759,Miss Sloane,"Drama,Thriller",7.5,John Madden,,"director,producer,writer",7.074999999999999,4.0
767,2.0,"Action,Sci-Fi",6.6,S. Shankar,,"writer,director,producer",7.15,4.0
778,Hugo,"Adventure,Drama,Family",7.5,Martin Scorsese,,"producer,director,actor",7.75,4.0
781,Demolition,"Comedy,Drama",7.0,Jean-Marc Vallée,,"producer,director,editor",7.375,4.0
783,The World's End,"Action,Comedy,Sci-Fi",7.0,Edgar Wright,,"director,writer,actor",7.366666666666667,3.0
802,Edge of Tomorrow,"Action,Sci-Fi",7.9,Doug Liman,,"producer,director,miscellaneous",7.025,4.0
822,Dheepan,"Crime,Drama",7.2,Jacques Audiard,,"writer,director,editorial_department",7.233333333333333,3.0
823,The Wall,"Action,Drama,Thriller",6.2,Doug Liman,,"producer,director,miscellaneous",7.025,4.0
836,Jab Harry Met Sejal,"Comedy,Drama,Romance",5.4,Imtiaz Ali,,"writer,director,actor",7.0,4.0
839,The Post,"Biography,Drama,History",7.2,Steven Spielberg,,"producer,writer,director",7.228571428571429,7.0
840,Thelma,"Drama,Fantasy,Horror",7.0,Joachim Trier,,"director,writer,soundtrack",7.1000000000000005,3.0
842,Into the Abyss,"Crime,Documentary,Drama",7.3,Werner Herzog,,"director,writer,actor",7.266666666666666,3.0
850,Fruitvale Station,"Biography,Drama,Romance",7.5,Ryan Coogler,,"director,writer,producer",7.466666666666666,3.0
854,Joy,Drama,6.6,David O. Russell,,"producer,director,writer",7.324999999999999,4.0
867,Sicario,"Action,Crime,Drama",7.6,Denis Villeneuve,,"director,writer,editor",7.800000000000001,6.0
877,October,"Drama,Romance",7.5,Shoojit Sircar,,"director,producer,actor",7.6499999999999995,4.0
887,X-Men: First Class,"Action,Adventure,Sci-Fi",7.7,Matthew Vaughn,,"producer,writer,director",7.449999999999999,4.0
895,Winnie the Pooh,"Adventure,Animation,Comedy",7.2,Don Hall,,"writer,animation_department,director",7.533333333333334,3.0
902,The Master,Drama,7.1,Paul Thomas Anderson,,"director,writer,producer",7.1000000000000005,3.0
921,Children Who Chase Lost Voices,"Adventure,Animation,Drama",7.2,Makoto Shinkai,,"writer,art_department,director",7.733333333333334,3.0
922,Mud,Drama,7.4,Jeff Nichols,,"writer,director,producer",7.1,4.0
925,12 Years a Slave,"Biography,Drama,History",8.1,Steve McQueen,,"director,writer,producer",7.433333333333334,3.0
941,Holiday,"Action,Thriller",7.4,A.R. Murugadoss,,"writer,director,actor",7.6,4.0
